categorie;link;address;contact;description;image;price;name;hours
Prix;http://www.oubruncher.com/brunch-les-petits-plats-de-marc-75005-2619.php;6, Rue de l'arbalète;143366079;Au cœur d'une petite rue piétonne dans le 5ème arrondissement, le restaurant les petits plats de Marc propose tous les weekends un assortiment de produits faits maison pour notre plus grand plaisir. La convivialité est au rendez-vous. Vous n'avez qu'à vous installer et profiter de ce brunch servi à table. Vous aurez le choix entre un brunch sucré ou salé (15€), ou bien même les deux (20€) selon votre appétit, puis d'un dessert tout en douceur. Pour la partie sucrée, une assiette composée d'un roulé à la cannelle, d'un scone nature, de fromage blanc puis d’un demi pamplemousse rose vous seront servi. Vous pourrez l'accompagner d'une boisson chaude au choix. De notre coté, le chocolat chaud allié à cette première fournée fut excellent. Afin de vous faire découvrir toujours plus de saveurs, Les Petits Plats de Marc varie son assiette toutes les semaines ! Arrive ensuite l'assiette salée. Produits frais et de qualité au rendez-vous : un mi-cuit de saumon, une petite salade composée accompagnée d'une tranche de fromage et de pain. Puis pour clôturer ce très bon brunch, vous aurez le plaisir de découvrir une petite madeleine aux zestes de citron accompagnée d’une mousse à la banane et d'un coulis de fruits rouge. En résumé, ce restaurant est un très bon rapport qualité prix. Le lieu très cosy vous proposera à coup sûr des produits de très bonne qualité où vous pourrez passer sans aucun doute un moment très agréable.;http://www.oubruncher.com/photos1/2619_3.jpg;20.00€;Brunch Les Petits Plats de Marc;Horaires du brunch : Samedi (09h00 - 19h00) & Dimanche (09h00 - 18h00)
Original;http://www.oubruncher.com/brunch-paris-en-scene-75001-1198.php;Pont Saint Michel, Quai des Orfèvres;141419070;"La croisière ""brunch"" du Paris en Scène est une très bonne occasion pour profiter de Paris et bruncher comme vous ne l'avez jamais fait, sur l'eau ! Ce restaurant est le seul sur Paris à vous proposer un brunch pendant votre croisière sur la Seine. Le bateau est moderne et offre une vue surprenante sur les monuments parisiens grâce à la disposition des fauteuils et des tables. Panorama incroyable sur les monuments de Paris ! A noter qu'il est possible quand il fait beau de monter sur le pont supérieur du bateau. Comment se déroule le brunch ? Pour les boissons, un verre de jus d'orange vous sera proposé. Le café et le thé sont à discrétion, ce qui est plutôt rare pour un brunch servi à table. On commence le brunch par une assiette de dégustation avec maki de poissons fins, tortilla de légumes en mille feuilles, miroir de foie gras à la griotte et pain d’épices ainsi qu'une petite tomate grappe au chèvre frais et aux appétits. S'ensuit une assiette sucrée avec trio de mini-viennoiseries (pain aux raisins, croissant, pain au chocolat), craquant au chocolat de Guayaquil, sorbet fraises basilic et sablé aux 3 agrumes acidulés. Les mets sont frais et de qualité. Le service est impeccable, le timing parfaitement maîtrisé. En somme, un brunch atypique dont vous ne serez pas déçu ! A noter, Paris en Scène travaille avec le boulanger star de l'émission la meilleure boulangerie de France sur M6. Information : la formule à 49 € vous permet de bénéficier en plus d'une 1/2 Bouteille de champagne Gratiot-Pillière Très important : L'embarquement se fait à 12h30. Pour les piétons : s’avancer vers le pont de Saint-Michel, s’engager sur le pont, descendre par la rampe d’accès. Le bateau se trouvera au bout de cette rampe. Départ : 13h / Retour à quai : 14h30.";http://www.oubruncher.com/photos1/1198_3.jpg;39.00€;Brunch Paris en Scène;Horaires du brunch : Dimanche (12h30 - 13h00)
Terrasses;http://www.oubruncher.com/brunch-dome-de-villiers-75017-3532.php;4 avenue Villiers;143872868;En se promenant à Villiers, on croise le théâtre Herbertot, les nombreux restaurants de l'avenue de Courcelles... Et au 4 de l'avenue Villiers, l'emblématique Dôme de Villiers ! Véritable institution du quartier, cette brasserie d'angle très parisienne s'est refait une beauté courant 2014, et accueille clients de passage comme habitués dans un cadre vintage et traditionnel. En un mot, c'est LE spot branché du quartier ! Sa terrasse ensoleillée et son emplacement sont idéals pour voir et être vu. On s'y installe confortablement pour déguster une cuisine française classique, à la fois copieuse et élégante, tout comme son brunch dominical d'ailleurs ! Il vous permettra de passer un moment agréable pendant le week-end, où vous pourrez enfin vous poser et profiter ! On vous proposera d'abord une boisson chaude, pour la touche réconfortante, et un jus d'orange pressé, pour la touche rafraîchissante. Vous serez très vite prêt à entamer la suite : petite salade César, jambon blanc de la maison Conquet et les traditionnels œufs brouillés nature, bacon ou saumon fumé. On vous servira ensuite croissant, tartine, fromage blanc canut, compote pomme poire, et pour finir de façon gourmande, une tranche de pain perdu.;http://www.oubruncher.com/photos1/3532_3.jpg;23.00€;Brunch Dôme de Villiers;Horaires du brunch : Dimanche (11h00 - 15h00)
D'ailleurs;http://www.oubruncher.com/brunch-riad-nejma-75004-1366.php;141 rue saint Martin;142783500;"En plein coeur historique de Paris, exactement en face du centre Georges Pompidou, le Riad Nejma est un restaurant marocain avec un immense patio et une verrière permettant de profiter d'une véritable ambiance orientale par tous les temps. Le Riad vous propose un brunch original et dépaysant dans une atmosphère marquée par une ambiance musicale lounge/orientale. Buffet sucré Mini-viennoiseries (pain au chocolat et croissant) Msemem au miel Barh'ir (crèpe mille trous) Verrines sucrées Corbeille de fruits de saison Seffae (fine semoule sucrée, amandes et raisins secs) Confitures, miel, Nutella Compote de fruits Yop Buffet chaud Le plat du moment Soupe ""Harira"" M'Semem nature ou farci ""notre pizza marocaine"" Briouats (feuilles de bruck fourrées au thon ou fromage ou poulet) Buffet froid Salade Zaalouk (caviar d'aubergine) Salade Mechouia (poivrons et tomates grillés) Salade d'artichauts et fèves sauce citronnée Salade de betteraves à la Chermoula Salade de carottes au cumin Salade de chou-fleur Taboulé Verrines de saison Boissons Jus d'Orange et de Pamplemousse fraîchement pressés Vin rouge ou rosé Thé à la menthe, café N'hésitez pas par la suite à flâner dans les rues alentours en compagnie de vos proches pour conclure ce dimanche convivial et sans fausse note de la meilleure des manières.";http://www.oubruncher.com/photos1/1366_3.jpg;29.00€;Brunch Riad Nejma;Horaires du brunch : Dimanche (12h00 - 16h00)
D'ailleurs;http://www.oubruncher.com/brunch-la-tiborna-75018-3905.php;19 rue durantin;649928581;Au pied de la butte de Montmartre, à deux pas des Abbesses, se trouve une petite épicerie fine typiquement portugaise. L'espace est assez réduit mais peu importe, l'atmosphère et ce qu'on y mange en valent la peine. Confitures, jus, charcuteries, sardines et autres spécialités ibériques et bio recouvrent la grande étagère, qui donne tout le charme à cet endroit. Et c'est sans compter sur le gérant et le service, tout aussi charmants ! Du côté de votre assiette, vous ne serez pas en reste. On commence par une boisson chaude au choix (café, thé, chocolat, cappuccino, latte) et une boisson fraîche (jus, smoothie, bière, limonade bios, oranges pressées, coca, San Pellegrino) pour accompagner tartines beurrées-confiturées et fromage. Sans oublier la tartelette de morue, la tortilla espagnole ou l'assiette de chorizo. Ne vous lâchez pas trop sur le pain, la suite est annoncée avec une tiborna au choix (demi tartine chaude de pain de campagne bio et huile d’olive avec de la salade mesclun tomate) : jambon ibérique Pata Negra, poulet, thon, morue, sardine ou chèvre. Enfin, pour le dessert, grande hésitation ! Cookies maison, brownie, pot de crème chocolat au spéculoos et à la chantilly ou pastel de nata, à vous de trancher... Pour ne rien regretter, vous pourrez toujours en prendre un à emporter.;http://www.oubruncher.com/photos1/3905_3.jpg;19.50€;Brunch La Tiborna;Horaires du brunch : Samedi (12h00 - 16h00) & Dimanche (12h00 - 16h00)
Terrasses;http://www.oubruncher.com/brunch-le-roland-garros-75016-1890.php;2 bis, avenue Gordon-Bennett;147434956;Situé dans le 16ème arrondissement, le paradis de la terre battue ouvre sa grille sur un cottage normand au coeur du célèbre stade. On retrouve au Roland Garros un décor design de Miguel Cancio, jouant sur la chaleur brique et bois sous la lumière des verrières. Le brunch vous sera proposé tous les dimanches de 11h30 à 16h00 sous forme de buffet. Pendant les internationaux de France de tennis, du 19 mai au 7 juin inclus, le brunch n'est pas assuré. Vous aurez accès au buffet sucré où les produits du petit-déjeuner vous raviront. Un large choix d'assortiments de pâtisseries et viennoiseries sont disponibles. Vous sont également proposés des jus de fruits frais et smoothies ainsi que des boissons chaudes (café ou thé. ) Un buffet salé est également mis à votre disposition vous permettant de confectionner vos propres salades, amenant fraîcheur et créativité de votre part. Vous pourrez accompagné cela d'un plat chaud concocté selon l'inspiration du Chef. Profitez de la formule prestige à 50 € qui agrémentera votre brunch d'une coupe de champagne. C'est un véritable régal qui vous poussera à vous resservir tant les produits sont de qualités et savoureux ! Profitez en été de la superbe terrasse fleurie et en hiver de la salle cheminée ! Vous pouvez également découvrir la formule : pour les amoureux du tennis (brunch + visite). Après le brunch, découvrez les secrets de Roland-Garros et accédez aux zones les plus confidentielles du stade lors d’une visite guidée ! Vous pourrez également plonger au cœur de l’histoire du tennis avec le musée de la Fédération Française de Tennis, le tout pour 45€. Sans le brunch, la visite du musée et des coulisses est à 15,50€.;http://www.oubruncher.com/photos1/1890_3.jpg;38.00€;Brunch Le Roland Garros;Horaires du brunch : Dimanche (11h30 - 16h00)
D'ailleurs;http://www.oubruncher.com/brunch-maison-issa-75015-2674.php;81 rue Olivier de Serres;145312471;La Maison Issa c'est une jeune institution du 15ème arrondissement tenue par le Chef Hassan Issa, un grand nom de la gastronomie libanaise qui a notamment oeuvré au restaurant Liza à Paris. A la Maison Issa, On sert une cuisine libanaise traditionnelle, à base de produits frais et dans la tradition rurale du Liban. La rédac' a eu un véritable coup de cœur pour le brunch libanais de la Maison Issa. A 18€ ou 20€ en fonction du choix du plat, le rapport qualité-prix est excellent. Vous commencerez votre brunch par un thé ou du café à volonté accompagné d'une limonade maison à la fleur d'oranger. Vous pourrez goûter le Sahlab, une boisson chaude lactée traditionnelle à base de racine d'orchidée parfumée à la cannelle. Une véritable découverte ! Vous aurez ensuite droit à une assiette de mezze : le vrai tabbouleh libanais à redécouvrir si vous n'y avez jamais goûté, hommos au cumin, salade d'aubergines et manakichs au zaatar (thym, huile d'olive et sésame) et à la viande (agneau, bœuf et tomate). En plat, nous avons adoré les œufs cuits au four sur du pain croustillant maison, trois recettes au choix : sumac, agneau ou courgettes. Sinon vous pouvez aussi opter pour le Makloubé (poulet cuit au four servi avec du riz parfumé aux aubergines et tomates confites) ou pour le très traditionnel Mouloukhieh (sur réservation, à partir de 4 personnes). Enfin, vous ne résisterez pas à la jolie sélection de desserts qui vous est réservée : Sfouf safrané, Baklawa maison et notre coup de cœur le Katayef croustillant à la crème de lait et sirop de fleur d'oranger. On ne vous en dit pas plus, il faut goûter.;http://www.oubruncher.com/photos1/2674_3.jpg;18.00€;Brunch Maison Issa;Horaires du brunch : Samedi (12h00 - 15h00) & Dimanche (12h00 - 15h00)
Buffet;http://www.oubruncher.com/brunch-la-gare-75016-221.php;19 chaussée de la Muette;142151531;"Le restaurant La Gare est un lieu d'exception situé dans l'ancienne station ""Passy La Muette"" au cœur du 16ème arrondissement. Le décor est raffiné et atypique de style colonial avec un mobilier vintage. Sans oublier les deux belles terrasses qui laissent place à la végétation pour un instant nature en plein Paris. Le brunch est servi sous forme de buffet à volonté : vous avez le choix des boissons chaudes et des jus de fruits (le chocolat chaud est excellent !). Côté buffet d'entrées, une large sélection vous est proposée alliant charcuterie, saumon fumé, et différentes salades de saison. Plusieurs plats principaux sont à volonté et notamment les traditionnels oeufs brouillés / saucisses. Enfin les desserts sont nombreux et très bons avec notamment une mousse au chocolat très réussie. Les nombreux fruits de saison et un beau plateau de fromage viennent compléter tout cela.";http://www.oubruncher.com/photos1/221_3.jpg;42.00€;Brunch La Gare;Horaires du brunch : Dimanche (12h00 - 15h00)
Prix;http://www.oubruncher.com/brunch-paris-london-75008-2811.php;16 Place de la Madeleine;147423392;Le Paris London, café branché parisien, peut se vanter d'une situation d'exception, place de la Madeleine. Son décor de brasserie traditionnelle, à la bonne franquette tout en restant chic et bien décoré, change de tous ces restaurants design, et ça fait du bien ! Carrelage noir et blanc, grands miroirs, garçons de café... On se croirait dans les années 20 ! En dépit de son nom, l'endroit sert une cuisine bien française, copieuse et alléchante. C'est donc la recette idéal pour un brunch ! Traditionnellement, il est servi le dimanche, à table, et ravira les amateurs du genre. Boisson chaude (excellent chocolat viennois !) et jus de fruit pressé seront une excellente introduction. Pour la suite, on passera au salé, avec œufs brouillés (nature, bacon ou saumon fumé), petite salade César et jambon blanc de la maison Conquet. Vous retrouverez également les classiques du petit déjeuner à la française : croissant, tartine et fromage blanc Canut. Les plus gourmands apprécieront les fraises Mariguette et la tranche de pain perdu (hyper gourmand) qui concluront le brunch !;http://www.oubruncher.com/photos1/2811_3.jpg;24.00€;Brunch Paris London;Horaires du brunch : Dimanche (12h00 - 15h30)
D'ailleurs;http://www.oubruncher.com/brunch-wa-izakaya-75001-3639.php;35 rue du Pont Neuf;142337965;Vous avez raté votre rendez-vous sushis de la semaine et cherchez un brunch atypique avant de débuter votre balade dominicale sur les bords de Seine ? Courez chez Wa Izakaya ! Au pied des Halles, ce restaurant japonais au cadre chaleureux, spécialiste des tapas japonaises, vous changera du brunch traditionnel en vous faisant découvrir de nouvelles saveurs. Jus d'orange, pamplemousse ou les deux subtilement mélangés vont ouvriront l'appétit. Au fur et à mesure que les plats arrivent et s'agencent sur votre table vous vous retenez de les dévorer : quatre quart de thé vert, omelette japonaise, soupe miso, tsukémono, gyoza, sushi, sashimi et maki accompagnés de riz. Le festin est vraiment copieux, c'est un régal pour les yeux et les papilles ! Terminez votre brunch avec un thé vert et de délicieux mochis glacés (boules de glace enrobées de farine de riz gluant). Vous ressortirez de ce brunch avec une seule envie, y revenir !;http://www.oubruncher.com/photos1/3639_3.jpg;35.00€;Brunch Wa Izakaya;Horaires du brunch : Dimanche (12h00 - 16h00)
